Nome da IES,Sigla da IES,Organização Acadêmica,Categoria Administrativa,Código do Curso,Modalidade de Ensino,Código do Município,Município do Curso,Sigla da UF,Nº de Concluintes Inscritos,Nº  de Concluintes Participantes,Nota Bruta - FG,Nota Padronizada - FG,Nota Bruta - CE,Nota Padronizada - CE,Conceito Enade (Contínuo),Conceito Enade (Faixa),Observação,,,
2019,12,MEDICINA,330,UNIVERSIDADE IGUAÇU,UNIG,Universidade,Privada sem fins lucrativos,7414,Educação Presencial,3303500,Nova Iguaçu,RJ,256,246,35.6776,0,46.6728,0,0,1
2019,12,MEDICINA,330,UNIVERSIDADE IGUAÇU,UNIG,Universidade,Privada sem fins lucrativos,19294,Educação Presencial,3302205,Itaperuna,RJ,138,135,38.3067,0,44.8415,0,0,1
2019,12,MEDICINA,338,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PUC MINAS,Universidade,Privada sem fins lucrativos,1108281,Educação Presencial,3106705,Betim,MG,124,124,58.9185,4.0469,64.6871,3.5519,3.6756,4
2019,12,MEDICINA,349,CENTRO UNIVERSITÁRIO DE BELO HORIZONTE,UNI-BH,Centro Universitário,Privada com fins lucrativos,100688,Educação Presencial,3106200,Belo Horizonte,MG,82,82,55.1646,3.3098,62.2098,2.946,3.037,4
2019,12,MEDICINA,351,FACULDADE DE CIÊNCIAS MÉDICAS DE MINAS GERAIS,FCMMG,Faculdade,Privada sem fins lucrativos,7676,Educação Presencial,3106200,Belo Horizonte,MG,104,103,56.7223,3.6157,65.9816,3.8684,3.8052,4
2019,12,MEDICINA,352,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA,UNIPÊ,Centro Universitário,Privada com fins lucrativos,1190667,Educação Presencial,2507507,João Pessoa,PB,76,74,56.1297,3.4993,60.573,2.5457,2.7841,3
2019,12,MEDICINA,353,FACULDADE EVANGÉLICA MACKENZIE DO PARANÁ,FEMPAR,Faculdade,Privada sem fins lucrativos,7705,Educação Presencial,4106902,Curitiba,PR,108,108,55.512,3.378,58.0009,1.9167,2.282,3
2019,12,MEDICINA,367,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,Universidade,Pública Estadual,7837,Educação Presencial,3143302,Montes Claros,MG,56,54,49.4833,2.1944,64.8815,3.5994,3.2481,4
2019,12,MEDICINA,375,UNIVERSIDADE SANTO AMARO,UNISA,Universidade,Privada sem fins lucrativos,74655,Educação Presencial,3550308,São Paulo,SP,92,92,51.0587,2.5037,59.325,2.2405,2.3063,3
2019,12,MEDICINA,384,CENTRO UNIVERSITÁRIO DE ANÁPOLIS,UNIEVANGÉLICA,Centro Universitário,Privada sem fins lucrativos,108884,Educação Presencial,5201108,Anápolis,GO,112,111,52.1378,2.7156,66.9477,4.1047,3.7574,4
2019,12,MEDICINA,385,UNIVERSIDADE SALVADOR,UNIFACS,Universidade,Privada com fins lucrativos,5000979,Educação Presencial,2927408,Salvador,BA,163,160,52.6594,2.818,60.515,2.5315,2.6031,3
2019,12,MEDICINA,398,UNIVERSIDADE TIRADENTES,UNIT,Universidade,Privada com fins lucrativos,5000001,Educação Presencial,2800308,Aracaju,SE,115,115,52.9574,2.8765,61.5435,2.7831,2.8064,3
2019,12,MEDICINA,402,CENTRO UNIVERSITÁRIO DE BRASÍLIA,UNICEUB,Centro Universitário,Privada sem fins lucrativos,1135207,Educação Presencial,5300108,Brasília,DF,99,97,60.9454,4.4448,64.3268,3.4637,3.709,4
2019,12,MEDICINA,403,UNIVERSIDADE CATÓLICA DE BRASÍLIA,UCB,Universidade,Privada sem fins lucrativos,48854,Educação Presencial,5300108,Brasília,DF,91,90,58.7489,4.0135,61.0289,2.6572,2.9963,4
2019,12,MEDICINA,409,UNIVERSIDADE DE PERNAMBUCO,UPE,Universidade,Pública Estadual,8437,Educação Presencial,2611606,Recife,PE,151,148,59.9155,4.2426,67.523,4.2454,4.2447,5
2019,12,MEDICINA,409,UNIVERSIDADE DE PERNAMBUCO,UPE,Universidade,Pública Estadual,1183958,Educação Presencial,2606002,Garanhuns,PE,36,36,57.7944,3.8261,63.3333,3.2208,3.3721,4
2019,12,MEDICINA,409,UNIVERSIDADE DE PERNAMBUCO,UPE,Universidade,Pública Estadual,1276878,Educação Presencial,2613909,Serra Talhada,PE,18,18,55.2111,3.3189,63.35,3.2249,3.2484,4
2019,12,MEDICINA,415,FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA SÃO PAULO,FCMSCSP,Faculdade,Privada sem fins lucrativos,8554,Educação Presencial,3550308,São Paulo,SP,133,133,57.6278,3.7934,66.2,3.9219,3.8897,4
2019,12,MEDICINA,417,UNIVERSIDADE CIDADE DE SÃO PAULO,UNICID,Universidade,Privada com fins lucrativos,57402,Educação Presencial,3550308,São Paulo,SP,142,138,50.5116,2.3963,58.8884,2.1337,2.1994,3
2019,12,MEDICINA,420,UNIVERSIDADE DE MARÍLIA,UNIMAR,Universidade,Privada com fins lucrativos,8698,Educação Presencial,3529005,Marília,SP,119,118,55.5025,3.3762,60.9195,2.6305,2.8169,3
2019,12,MEDICINA,431,FACULDADE DE MEDICINA DE MARÍLIA,FAMEMA,Faculdade,Pública Estadual,8960,Educação Presencial,3529005,Marília,SP,81,81,60.1593,4.2904,66.6852,4.0405,4.103,5
2019,12,MEDICINA,434,FACULDADE SANTA MARCELINA,FASM,Faculdade,Privada sem fins lucrativos,1136509,Educação Presencial,3550308,São Paulo,SP,109,109,48.6826,2.0372,58.8505,2.1245,2.1026,3
2019,12,MEDICINA,449,UNIVERSIDADE LUTERANA DO BRASIL,ULBRA,Universidade,Privada sem fins lucrativos,9326,Educação Presencial,4304606,Canoas,RS,106,105,44.9457,1.3035,58.641,2.0732,1.8808,2
2019,12,MEDICINA,466,UNIVERSIDADE ANHEMBI MORUMBI,UAM,Universidade,Privada com fins lucrativos,100956,Educação Presencial,3550308,São Paulo,SP,129,123,43.3341,0.9871,52.513,0.5746,0.6777,1
2019,12,MEDICINA,472,UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY,UNIGRANRIO,Universidade,Privada com fins lucrativos,18605,Educação Presencial,3301702,Duque de Caxias,RJ,118,113,46.4788,1.6045,53.4965,0.8151,1.0125,2
2019,12,MEDICINA,472,UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY,UNIGRANRIO,Universidade,Privada com fins lucrativos,75821,Educação Presencial,3304557,Rio de Janeiro,RJ,112,105,52.9895,2.8828,58.9895,2.1585,2.3396,3
2019,12,MEDICINA,475,FACULDADE DE MEDICINA DE PETRÓPOLIS,FMP,Faculdade,Privada sem fins lucrativos,9772,Educação Presencial,3303906,Petrópolis,RJ,111,110,51.8236,2.6539,58.21,1.9678,2.1393,3
2019,12,MEDICINA,480,CENTRO UNIVERSITÁRIO SERRA DOS ÓRGÃOS,UNIFESO,Centro Universitário,Privada sem fins lucrativos,9805,Educação Presencial,3305802,Teresópolis,RJ,156,155,52.3142,2.7502,57.8994,1.8919,2.1064,3
2019,12,MEDICINA,482,UNIVERSIDADE DO EXTREMO SUL CATARINENSE,UNESC,Universidade,Privada sem fins lucrativos,38071,Educação Presencial,4204608,Criciúma,SC,100,100,47.532,1.8113,58.343,2.0004,1.9531,3
2019,12,MEDICINA,489,CENTRO UNIVERSITÁRIO DE VOLTA REDONDA,UNIFOA,Centro Universitário,Privada sem fins lucrativos,9988,Educação Presencial,3306305,Volta Redonda,RJ,97,97,52.6082,2.8079,55.9784,1.4221,1.7685,2
2019,12,MEDICINA,490,CENTRO DE ENSINO SUPERIOR DE VALENÇA,CESVA,Centro Universitário,Privada sem fins lucrativos,9996,Educação Presencial,3306107,Valença,RJ,89,89,53.0225,2.8892,64.3348,3.4657,3.3216,4
2019,12,MEDICINA,494,UNIVERSIDADE DO SUL DE SANTA CATARINA,UNISUL,Universidade,Privada sem fins lucrativos,20249,Educação Presencial,4218707,Tubarão,SC,95,94,48.4862,1.9986,58.2638,1.981,1.9854,3
2019,12,MEDICINA,494,UNIVERSIDADE DO SUL DE SANTA CATARINA,UNISUL,Universidade,Privada sem fins lucrativos,97679,Educação Presencial,4211900,Palhoça,SC,74,74,49.6716,2.2313,62.4054,2.9939,2.8032,3
2019,12,MEDICINA,496,UNIVERSIDADE DE FRANCA,UNIFRAN,Universidade,Privada com fins lucrativos,5000933,Educação Presencial,3516200,Franca,SP,60,60,56.9633,3.663,67.065,4.1334,4.0158,5
2019,12,MEDICINA,501,ESCOLA SUPERIOR DE CIÊNCIAS DA SANTA CASA DE MISERICÓRDIA DE VITÓRIA,EMESCAM,Faculdade,Privada sem fins lucrativos,10224,Educação Presencial,3205309,Vitória,ES,128,127,49.626,2.2224,57.5677,1.8108,1.9137,2
2019,12,MEDICINA,506,FACULDADE DE MEDICINA DE CAMPOS,FMC,Faculdade,Privada sem fins lucrativos,10289,Educação Presencial,3301009,Campos dos Goytacazes,RJ,96,94,47.55,1.8148,56.9096,1.6498,1.6911,2
2019,12,MEDICINA,521,UNIVERSIDADE DE MOGI DAS CRUZES,UMC,Universidade,Privada com fins lucrativos,10591,Educação Presencial,3530607,Mogi das Cruzes,SP,89,89,56.7079,3.6128,58.8011,2.1124,2.4875,3
2019,12,MEDICINA,527,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS,PUC GOIÁS,Universidade,Privada sem fins lucrativos,84408,Educação Presencial,5208707,Goiânia,GO,100,98,53.0939,2.9033,61.6031,2.7976,2.824,3
2019,12,MEDICINA,534,ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA,EBMSP,Faculdade,Privada sem fins lucrativos,11114,Educação Presencial,2927408,Salvador,BA,212,210,54.4519,3.1699,63.4829,3.2574,3.2355,4
2019,12,MEDICINA,546,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,PUCSP,Universidade,Privada sem fins lucrativos,11233,Educação Presencial,3552205,Sorocaba,SP,101,101,56.4089,3.5541,60.9792,2.6451,2.8723,3
2019,12,MEDICINA,547,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,Universidade,Pública Estadual,11316,Educação Presencial,3304557,Rio de Janeiro,RJ,101,99,55.3717,3.3505,61.9919,2.8927,3.0072,4
2019,12,MEDICINA,548,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,Universidade,Pública Federal,11446,Educação Presencial,2111300,São Luís,MA,126,121,52.105,2.7091,59.3488,2.2463,2.362,3
2019,12,MEDICINA,548,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,Universidade,Pública Federal,1257562,Educação Presencial,2105302,Imperatriz,MA,61,61,55.3459,3.3454,62.3574,2.9821,3.0729,4
2019,12,MEDICINA,548,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,Universidade,Pública Federal,1257777,Educação Presencial,2108603,Pinheiro,MA,48,48,55.1333,3.3037,57.4042,1.7708,2.154,3
2019,12,MEDICINA,549,UNIVERSIDADE FEDERAL DO ACRE,UFAC,Universidade,Pública Federal,53338,Educação Presencial,1200401,Rio Branco,AC,75,73,43.4411,1.0081,53.6712,0.8579,0.8954,1
2019,12,MEDICINA,555,UNIVERSIDADE DE FORTALEZA,UNIFOR,Universidade,Privada sem fins lucrativos,93001,Educação Presencial,2304400,Fortaleza,CE,140,139,56.7727,3.6255,67.5072,4.2415,4.0875,5
2019,12,MEDICINA,568,UNIVERSIDADE ESTADUAL DO MARANHÃO,UEMA,Universidade,Pública Estadual,71689,Educação Presencial,2103000,Caxias,MA,46,46,55.2196,3.3206,58.5152,2.0425,2.362,3
2019,12,MEDICINA,569,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,12015,Educação Presencial,1501402,Belém,PA,156,153,50.6876,2.4308,57.8935,1.8904,2.0255,3
2019,12,MEDICINA,570,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,Universidade,Pública Federal,12345,Educação Presencial,2408102,Natal,RN,87,85,57.4506,3.7586,67.4541,4.2286,4.1111,5
2019,12,MEDICINA,570,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,Universidade,Pública Federal,1202546,Educação Presencial,2402006,Caicó,RN,39,39,55.8667,3.4477,64.3923,3.4798,3.4717,4
2019,12,MEDICINA,571,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,Universidade,Pública Federal,12569,Educação Presencial,4106902,Curitiba,PR,188,187,60.7743,4.4112,66.0893,3.8948,4.0239,5
2019,12,MEDICINA,572,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,Universidade,Pública Federal,12692,Educação Presencial,3303302,Niterói,RJ,184,173,57.3012,3.7293,62.1503,2.9315,3.1309,4
2019,12,MEDICINA,573,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,Universidade,Pública Federal,12813,Educação Presencial,3205309,Vitória,ES,74,74,53.7351,3.0292,67.8568,4.327,4.0026,5
